"Episode","Output","OutputMB","Source","SourceMB","SizeRatio","OutDuration_s","SrcDuration_s","AudioInfo","Notes"
"08","[wham] Hikaru ga Shinda Natsu - 08 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","277.85","[wham] Hikaru ga Shinda Natsu - 08 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio).mkv","1029.15","0.27","541.63","1371.22","aac,2,eng","duration_mismatch"
"09","[wham] Hikaru ga Shinda Natsu - 09 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","907.49","[wham] Hikaru ga Shinda Natsu - 09 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio).mkv","1133.94","0.8","1371.05","1371.05","aac,2,eng",""
"10","[wham] Hikaru ga Shinda Natsu - 10 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","952.46","[wham] Hikaru ga Shinda Natsu - 10 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio).mkv","1179.76","0.81","1371.21","1371.22","aac,2,eng",""
"11","[wham] Hikaru ga Shinda Natsu - 11 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","795.38","[wham] Hikaru ga Shinda Natsu - 11 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio).mkv","1022.89","0.78","1371.05","1371.05","aac,2,eng",""
"12","[wham] Hikaru ga Shinda Natsu - 12 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","868.08","[wham] Hikaru ga Shinda Natsu - 12 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio).mkv","1094.41","0.79","1371.05","1371.05","aac,2,eng",""
