"FullName","MB"
"C:\Users\mslag\Downloads\Correct\[wham] Hikaru ga Shinda Natsu - 10 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","952.46"
"C:\Users\mslag\Downloads\Correct\[wham] Hikaru ga Shinda Natsu - 12 (BD 1080p AV1 Opus EAC-3 5.1 Dual Audio)-nojp-aac-stereo.mkv","868.08"
