# Discord Emoji Index
# Format: ID | Name | Animated | Filename

590393273655361550 | scheme | static | scheme_590393273655361550.webp
1429946448841015336 | screw | static | screw_1429946448841015336.webp
591411452506669125 | shoot | static | shoot_591411452506669125.webp
867553750973284372 | shronk | static | shronk_867553750973284372.webp
813949929227681862 | shut | static | shut_813949929227681862.webp
942589468894978068 | shutwagu | static | shutwagu_942589468894978068.webp
756668535324803132 | smol_a | static | smol_a_756668535324803132.webp
771355757856686120 | spicymeat | static | spicymeat_771355757856686120.webp
479509326302806016 | spinner | static | spinner_479509326302806016.webp
479509304022401037 | spinthink | static | spinthink_479509304022401037.webp
1020821427592630362 | spray | static | spray_1020821427592630362.webp
536008316346826772 | squint | static | squint_536008316346826772.webp
550511209036644352 | staticbean | static | staticbean_550511209036644352.webp
479509279876055050 | stop | static | stop_479509279876055050.webp
1172332853967736934 | succulent | static | succulent_1172332853967736934.webp
591414818918105088 | surprised | static | surprised_591414818918105088.webp
367189765268963328 | switchlogo | static | switchlogo_367189765268963328.webp
1095842642849443951 | tacolaugh | static | tacolaugh_1095842642849443951.webp
1021196310499557417 | thenk | static | thenk_1021196310499557417.webp
506625208455659533 | thenky | static | thenky_506625208455659533.webp
569998608154361876 | thinkario | static | thinkario_569998608154361876.webp
589955260391620618 | thinkmad | static | thinkmad_589955260391620618.webp
1102082951782608926 | thinkrevolvefast | static | thinkrevolvefast_1102082951782608926.webp
1371322323487031440 | thinkwarp | static | thinkwarp_1371322323487031440.webp
1446386422058844260 | thiscube | static | thiscube_1446386422058844260.webp
1138389048520622110 | thistbh | static | thistbh_1138389048520622110.webp
519581399221534729 | thisup | static | thisup_519581399221534729.webp
698206233143803984 | tHONK | static | tHONK_698206233143803984.webp
1018282526147629158 | thumbsupemoji | static | thumbsupemoji_1018282526147629158.webp
590632096498974748 | tomstare | static | tomstare_590632096498974748.webp
1164684404166242344 | touchgrass | static | touchgrass_1164684404166242344.webp
746234060082380931 | trumps_a_dotard | static | trumps_a_dotard_746234060082380931.webp
607748796251897857 | tumbleweed | static | tumbleweed_607748796251897857.webp
1135382835860082808 | turtlehats | static | turtlehats_1135382835860082808.webp
1135382917275725844 | turtlestack | static | turtlestack_1135382917275725844.webp
1135382999236628620 | turtlestack2 | static | turtlestack2_1135382999236628620.webp
1112679272830730300 | turtlethumb | static | turtlethumb_1112679272830730300.webp
639489321778282497 | tuturu | static | tuturu_639489321778282497.webp
